title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Decree on Incentive Measures for Privileged Energy Producers (Eco-scheme),"<div>The Decree specifies the categories of privileged power producers, regulate the incentive measures, define conditions for obtaining the right to use these measures, method of determining of the incentive period, rights and obligations arising from these measures for the privileged power producers and other energy entities and regulate the content of the Power Purchase Agreement and Preliminary Power Purchase Agreement with a privileged power producer.<br>Incentive measures as defined in this Decree are: <br>1) The incentive period of 12 years for each of the power plants of the privileged power producers which have been commissioned less than 12 months before conclusion of the Power Purchase Agreement i.e. the 12 years incentive period reduced by difference between the year of concluding the Power Purchase Agreement and the year of commissioning of all the other privileged producers 'power plants;<br>2) Feed-in tariff at which the privileged producer is entitled to sell total amount of power generated during the incentive period to the Public Supplier; <br>3) The right of privileged producer who had previously acquired temporary status of privileged power producer to sell total amount of electricity generated during the incentive period to the Public Supplier at feed-in tariff valid at the time of acquiring temporary status of privileged power producer; <br>4) Taking balancing responsibility and balancing costs from privileged producers during the incentive period by the Public Supplier; <br>5) Free of charge monthly notification of a privileged producer and Public Supplier on the electricity generation in the facility of the privileged producer metered by the relevant System Operator during the incentive period; <br>6) The right of a privileged producer to conclude an Agreement with the Public Supplier after the incentive period on purchase of the total amount of produced electric power at conditions on the organized electric power market in the Republic of Serbia.</div>",Ended,2013,National,International Energy Agency,2013-01-24,2015,http://www.merz.gov.rs/en/dokumenti/decree-incentive-measures-privileged-power-producers,,1741280780645,"[{""iso3"":""SRB"",""name"":""Serbia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Renewable energy Development Plan (REDP) 2008-2022,"<div>Enacted in 2009, the fifteen year National Renewable Energies Development Plan 2008-2022 (REDP) seeks to bring renewable energies to 20.3% of Thailands total energy mix by 2022, increase energy security, use alternative energy source, encourage high-efficiency energy technologies, and spread green alternatives among communities. The programme first focuses on high potential energy sources already commercialised such as biofuels and co-generation from biomass and biogas (Phase 2008-2011). Investment will in the second phase (2012-2016) target the development of alternative energy technology industries and new R &amp; D fields. Lastly, investments will enhance the use of new alternative energies such as hydrogen and encourage biofuel and other RE technologies exports in the ASEAN region. Generation and investment targets decline as follows for the periods 2008-2011, 2012-2016 and 2017-2022:<br><br></div><div><strong>Electricity sector<br></strong><br></div><ul><li>Solar: 55, 95 and 500 MW and THB 695: 4, 726 and 56, 159 million by 2022.</li><li>Wind: 115, 375 and 800 MW and THB 4, 900: 18, 200 and 29, 750 million by 2022</li><li>Hydro: 165, 281 and 324 MW by 2022</li><li>Biomass: 2, 800, 3, 220 and 3, 700 MW and THB 35, 050; 45, 510 and 30, 640 million by 2022</li><li>Biogas: 60, 90 and 120 MW and THB 4, 500; 6, 750 and 9, 000 million by 2022</li><li>Municipal Solid Waste: 78, 130 and 160 MW and THB 4, 000; 7, 800 and 4, 500 million by 2022</li></ul><div><strong>Heating sector<br></strong><br></div><ul><li>Solar thermal: 5, 18 and 38 ktoe by 2022</li><li>Biomass: 3, 660, 5, 000 and 6, 760 ktoe by 2022</li><li>Biogas: 470, 54 and 600 ktoe by 2022</li><li>Municipal Solid Waste: 15, 24 and 35 ktoe by 2022 </li></ul><div><strong>Transport sector <br></strong><br></div><ul><li>Ethanol: 805, 1, 686 and 2, 447 ktoe and THB 4, 620; 45, 400 and 13, 860 million by 2022</li><li>Biodiesel: 950, 1, 145 and 1, 415 ktoe and THB 6, 020; 4, 340 and 1, 440 million by 2022</li></ul><div>Most investments are expected to come from the private sector, investments from state enterprise are expected to increase dramatically in the last phase of the plan as opposed to government spending. The National Plan will also rely on existing financial mechanisms such as the ESCO Venture Capital Fund monitored by the Department of Energy to assist public and private renewable energy projects through venture capital, equity investments, technical assistance and credit guarantee facilities. The Power Development Fund, monitored by the Energy Regulation Commission (ERC) also is a channel for subsidies to under privileged consumers and the promotion of renewable energies in rehabilitating localities or compensating people affected by power plant operations. Moreover, the Board of Investment, according to the investment promotion strategy, has implemented a set of investors incentives such as import duty exemption on machinery, an 8-year corporate income tax exemption and a further 50% reduction for the years 8 to 13th. The government also allocates investment grants for Design, Consultant and Partial Investment in biogas, municipal waste and solar water heating projects.<br><br></div>",Ended,2009,National,JOIN IEA/IRENA Policy and Measures Database,2009-01-01,2022,http://www.eppo.go.th/index-E.html,,1741770475425,"[{""iso3"":""THA"",""name"":""Thailand""}]",[],"[""Solar"",""Hydropower (excl. pumped hydro)"",""Wind"",""Solar PV"",""Solar thermal heaters""]",[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Economy-wide"",""family"":""Framework legislation"",""name"":""Master Energy Plan"",""category"":null},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Law 20.257 on non-conventional renewable energy,"<div>The Law N° 20,257 better known as Non-Conventional Renewable Energy Law (NCRE Law), enacted on 1 April 2008, aims to fulfill future energy requirements by developing non-conventional renewable energy sources, such as geothermal, wind, solar, tidal, biomass and small hydroelectric plants.<br><br></div><div>The law requires electricity providing companies, withdrawing electricity to supply their contract commitments, to demonstrate that a certain percentage of their total energy committed was injected in the system by non-conventional energy sources. The energy can be produced by their own plants, or by contracting from third-parties.<br><br></div><div>This quota came into force at the start of 2010, and until 2014 will require 5% of electricity to come from non-conventional renewable energy sources. Starting from 2015, the obligation will be increased by 0.5% annually, reaching 10% in 2024.<br><br></div><div>The law will apply to all agreements executed as of 31 May 2007 (new agreements, renewals, extensions, or similar arrangements). Non-compliance with the law will result in fines of 0.4 UTM (Monthly Tax Unit), equivalent to approximately CLP 16,179 per MW not obtained from NCRE sources per year.<br><br></div><div>The obligation will last for 25 years (2010-2034). Hydro is considered as a non-conventional source if the capacity is below 20 MW. However, for a plant producing between 20 and 40 MW, a portion of the energy can be considered non-conventional based on a decreasing function, with the non-conventional energy content of a 40 MW plant equal to zero.<br><br></div>",In force,2008,National,JOIN IEA/IRENA Policy and Measures Database,2008-04-01,,http://antiguo.minenergia.cl/minwww/opencms/08_Normativas/02_energias/renovables.html,,1739977787775,"[{""iso3"":""CHL"",""name"":""Chile""}]",[],"[""Geothermal"",""Geothermal electricity"",""Hydropower (excl. pumped hydro)"",""Marine energy"",""Wind"",""Solar thermal heaters""]",[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Nuclear""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
"Capital grants for PVs, solar thermal and wind turbines in the industrial/commercial sector","<div>The Malta Enterprise, the Government entity dealing with industrial promotion, launched a scheme in 2009, under the European Regional Development Fund 2007-2013 programme.<br><br></div><div>The ERDF Energy Grant Scheme was an opportunity for proactive businesses that are willing to invest in solutions that will help reduce the impact of energy costs on their business.<br><br></div><div>Eligible projects include investments energy efficient equipment (such as the installation of intelligent lighting systems, solar heating, thermal insulation, building management systems and energy-saving lighting) and electricity generation from renewable sources such as solar and wind.<br><br></div>",Ended,2009,National,International Energy Agency,,,http://maltaenterprise.com/en/support/erdf-energy-grant-scheme,,1750777912159,"[{""iso3"":""MLT"",""name"":""Malta""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""}]"
Tax exemptions for renewable energy,"<div>Companies that invest in a list clean technology sectors, including energy-efficient appliances and equipment, renewable energy and low-carbon vehicles, are exempted from VAT.<br><br></div>",In force,2012,National,International Energy Agency,2012-01-09,,http://archivo.presidencia.gub.uy/sci/decretos/2012/01/mef_705.pdf,,1750777912291,"[{""iso3"":""URY"",""name"":""Uruguay""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Scaling-Up Renewable Energy Program for Ethiopia (SREP),"<div>Ethiopia's SREP was designed in consultation and coordination with the Africa Development Bank, the World Bank, other development partners and key Ethiopian stakeholders. The strategy aims to maximize potential of renewable energy. Under this programme Ethiopia is accessing USD 50 million (96% grant, 4% loan) for a geothermal project (Aluto Langano, 200 MW) and a wind project (Assela, 120 MW), as well as a clean energy small and medium enterprise facility.<br><br></div>",Ended,2012,National,International Energy Agency,01-01-2012,2017,http://www.oecd.org/env/cc/TADELE_FDRE%20Ethiopia%20Scaling%20-%20Up%20Renewable%20Energy%20Program%202012.pdf,,1741617652103,"[{""iso3"":""ETH"",""name"":""Ethiopia""}]",[],"[""Geothermal"",""Hydropower (excl. pumped hydro)"",""Geothermal electricity""]",[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Scaling Up Renewable Energy Program for Bangladesh (SREP Bangladesh),"<div><strong>Scaling Up Renewable Energy Program for Bangladesh (SREP Bangladesh) was released at the end of 2015 to outline potential development and investments in the renewable energy sector in the country.<br></strong><br></div><div>The Investment Plan of SREP, if implemented, will be transformational for Bangladesh, launching an aggressive drive toward the integration of renewable energy generation into the grid, and a continued expansion of the off-grid electrification programs in the country.<br><br></div><div>Bangladesh aims to increase renewable energy capacity by 3.1 GW by 2021 following below technology capacity goals:<br><br></div><div><br> | <strong>Technology</strong> | <strong>New capacity (MW)</strong> | <strong>Year</strong><br> | <strong>Solar PV</strong> | 1 676 | 2021<br> | <strong>Onshore wind</strong> | 1 370<br> | <strong>Biomass</strong> | 47<br> | <strong>Biogas</strong> | 7<br> | <strong>Hydropower</strong> | 4<br> | <strong><em>Total</em></strong> | <em>3104 MW</em></div><div>According to the report, in 2015 Bangladesh total renewable energy capacity was at 437 MW with only half of it being connected to the grid. <br><br></div>",In force,2015,National,International Energy Agency,,,https://www-cif.climateinvestmentfunds.org/sites/default/files/meeting-documents/bangladesh_srep_ip_final.pdf,,1750778151314,"[{""iso3"":""BGD"",""name"":""Bangladesh""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Nuclear""},{""topic"":""Economy-wide"",""family"":""Framework legislation"",""name"":""Master Energy Plan"",""category"":null},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Law 27.191 Program to Promote the Use of Renewable Energy in Electricity Generation,"<div> <strong>The Decree 531 regulates and puts in to effect Law 27.191 that was adopted earlier in the Argentinian Parliament. Together they create a trust fund for renewables, define the incentives for renewable independent power producers and determine the framework for renewable energy auctions.<br></strong><br></div><div>The Decree and Law create <strong>the Fund for the Development of Renewable Energies (Fondo para el Desarrollo de las Energias Renovables - FODER)</strong> that will provide payment guarantees and project finance.<br><br></div><ul><li>The decree states that 12,000 million pesos (US$819 million) will be added to FODER in 2016.</li><li>The annual amount within the fund will never be less than 50% of the saving achieved on fossil fuels through renewable energies from the year before.</li></ul><div>The Decree and Law introduce <strong>fiscal incentives to independent power producers, including:<br></strong><br></div><ul><li>Exception of Import Duties for all project starting construction prior to 12/31/2107</li><li>Accelerated fiscal depreciation of applicable assets</li><li>Anticipated Refund of VAT paid on pre-COD purchases</li><li>Exception of Minimum Deemed Income Tax and Dividend Tax (subject to re-investment)</li><li>Extension of Income Tax Loss Credits to 10 years (standard is 5)</li><li>Tax deduction of all financial expenses</li></ul><div>The Decree and Law describe the <strong>power purchase agreements (PPAs) under renewable energy auctions</strong>:<br><br></div><ul><li>PPA costs will be transferred to all consumers.</li><li>Pre-qualified projects awarded at tender will have automatic access to tax benefits and FODER project financing and guarantees.</li><li>Selection rules will be set based on price and non-price criteria including local content integration, time to delivery and amount of FODER financing requested.</li><li>PPA will be awarded for 15+ years.</li><li>Large unbundled power users (&gt; 300 kW) may opt-out of roll out of tendered PPAs and source RE directly from IPPs, utilities, traders or self-consumption projects.</li></ul><div>The Decree and Law introduce important market and financial incentives for <strong>local supply chain building</strong>, including: <br><br></div><ul><li>Sector specific development credit lines will be provided through FODER for local suppliers and manufacturers.</li><li>Import duty exemption for equipment, parts and supplies for local suppliers and manufacturers.</li><li>20% Tax Credit on locally supplied CAPEX for independent power producers that integrate 30% of local component in electromechanical installations (excluding civil works, cost of transport and assembly of equipment).</li><li>Priority Access to FODER project financing for independent power producers with significant integration of local content.</li></ul>",In force,2015,National,International Energy Agency,2015,,,,1750777912847,"[{""iso3"":""ARG"",""name"":""Argentina""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Renewable Electricity Compliance,"<div>The government of Iran is obliged to include an amount of money as renewable and clean electricity duties in electricity bills. The budget for 2015 was 11000 billion Rials.<strong><br></strong><br></div><div>The amount shall be deposited into the account of Ministry of Energy with State Treasury, and the exact amount shall be expended merely for development and maintenance of rural electricity grids as well as for generation of clean electricity from renewable energy power plants.<br><br></div><div>The mentioned funds shall be used only for the above-mentioned purposes. <br><br></div>",Ended,2015,National,JOIN IEA/IRENA Policy and Measures Database,01-01-2015,,http://rc.majlis.ir,,1741984982848,"[{""iso3"":""IRN"",""name"":""Islamic Republic of Iran""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""}]"
Incentives for rooftop solar (Solar PV rebate scheme),"<div>Providing incentives to support the residential and commercial rooftop solar, Switzerland has offered to increase financial support through rebates by another CHF 46 million and by limiting waiting time for encouraging subsidies for PVs. </div><div> </div><div>This support can be detailled in two categories: </div><div> </div><div>One-off payment for large photovoltaic installations (GRU): a processing time of only around 3 months will be applied to installations announced to Pronovo AG since February 2020; the installations announced before that will receive by mid-May 2020 at the latest the assurance of obtaining their remuneration</div><div> </div><div>One-off compensation for small photovoltaic installations (PRU): all plant operators who have submitted their application to Pronovo AG up to and including March 31, 2020 will receive the assurance of obtaining their compensation by the end of 2020. From April 2020, the waiting time for new announcements therefore drops to around nine months.</div>",In force,2020,National,International Energy Agency,2020,,https://www.admin.ch/gov/fr/accueil/documentation/communiques.msg-id-78836.html,,1711126027729,"[{""iso3"":""CHE"",""name"":""Switzerland""}]",[],"[""Solar PV"",""Building-integrated PV""]","[""Government Energy Spending""]","[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""}]"
