title,description,status,year,jurisdiction,source,datePromulgated,yearEnded,learnMore,learnMoreLanguage,dateModified,countries,states,technologies,tags,policyType
Regional Greenhouse Gas Initiative (RGGI),"<div>The Regional Greenhouse Gas Initiative (RGGI) - the first mandatory, market-based effort in the United States to reduce greenhouse gas emissions - was established in December 2005 by the governors of seven Northeastern and Mid-Atlantic states: <strong>Connecticut, Delaware, Maine, New Hampshire, New Jersey, New York, and Vermont. Massachusetts, Rhode Island, and Maryland</strong> joined RGGI in 2007, bringing the number of participating states to ten.</div><div> </div><div>RGGI sets a cap on emissions of carbon dioxide (CO2) from fossil fuel-fired power plants with a capacity of 25 MW or higher, and allows sources to trade emissions allowances. The RGGI GHG emissions cap, state emissions caps and allowance distribution, and auction design were developed collaboratively between the RGGI states. RGGI is composed of individual CO2 Budget Trading Programs in each of the ten participating states. These ten programmes are implemented through state regulations, based on a RGGI Model Rule, and are linked through CO2 allowance reciprocity. Regulated power plants will be able to use a CO2 allowance issued by any of the ten participating states to demonstrate compliance with the state programme governing their facility. Taken together, the ten individual state programmes will function as a single regional compliance market for carbon emissions. </div><div> </div><div>The programme will begin by capping emissions at current levels in 2009 and then reducing emissions 10% by 2018.  The compliance period begins on 1 January 2009, at which time allowances will become tradable as power plants adjust their GHG emissions levels. The program will include 233 fossil fuel-fired power stations and factories. Power generators must hold allowances covering their CO2 emissions; each allowance allows the emission of one short ton of carbon dioxide emissions. These allowances are to be auctioned, and the proceeds used by the states to support renewable energy, energy efficiency and other low carbon intensity power solutions.  Before the start of the compliance period, pre-compliance emissions allowance auctions are to be held for the 2009-11 period. The first auction took place on 25 September 2008, with 12 565 387 CO2 emissions allowances from Connecticut, Maine, Maryland, Massachusetts, Rhode Island, and Vermont offered for bid to parties. These included entities with compliance obligations, allowance brokers, investors, and environmental groups. 59 separate entities submitted bids. The clearing price was USD 3.07, and the auction generated over USD 38 million in proceeds. States will use these funds for energy efficiency programmes, to mitigate price impacts of the programme on consumers, to stimulate investment in the renewable energy sector, and to cover the administrative costs of the programme.  Auction number 33 took place on 7th of September 2017.</div>",In force,2008,State/Provincial,JOIN IEA/IRENA Policy and Measures Database,,,http://www.rggi.org/home,,1711642099496,"[{""iso3"":""USA"",""name"":""United States""}]","[{""country"":""US"",""code"":""VT"",""name"":""Vermont""}]",[],[],"[{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
"Decree on Method of Calculation and Allocation of Funding Raised from Incentive Fees for Privileged Electricity Producers (RS Official Gazette, No. 8/13)","<div>This Decree specifies the method of calculation, charging i.e. payment and collecting of funds related to the incentive remunerations for Privileged Power Producers as well as the method of allocation of funds collected on that basis.Total amount of incentive remuneration paid by the final consumer is a product of the remuneration value, which is defined annually by the special regulation passed by the Government, and overall recorded active power consumption of a consumer during the accounting period, expressed in kWh.</div>",Ended,2013,National,International Energy Agency,,2015,,,1741281156732,"[{""iso3"":""SRB"",""name"":""Serbia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Feed-in tariffs/premiums"",""category"":null}]"
Finance Act 2010 - Ireland Carbon Tax,"<div>Carbon Tax was introduced in 2009 and applies to supplies of mineral oils, solid fuels and natural gas on the basis of the carbon dioxide emitted on combustion.  In line with 2020 Programme for Government policy approach, a carbon tax trajectory providing for annual increases in the rate up to €100 per tonne out to 2030 was introduced in Finance Act 2020.    Revenue raised from increases in the carbon tax since the year 2020 is hypothecated and allocated for expenditure on climate action and the Just Transition. The rate increased to €56.00 per tonne on 11 October 2023 for autofuels and on 1 May 2024 for all other fuels within the scope of carbon tax.  </div>",In force,2010,National,International Energy Agency,2009-12-09,,https://www.irishstatutebook.ie/eli/2010/act/5/enacted/en/html,English,1722344125527,"[{""iso3"":""IRL"",""name"":""Ireland""}]",[],"[""Industry sector-specific processes and technologies""]",[],"[{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
Decree on Incentive Measures for Privileged Energy Producers (Eco-scheme),"<div>The Decree specifies the categories of privileged power producers, regulate the incentive measures, define conditions for obtaining the right to use these measures, method of determining of the incentive period, rights and obligations arising from these measures for the privileged power producers and other energy entities and regulate the content of the Power Purchase Agreement and Preliminary Power Purchase Agreement with a privileged power producer.<br>Incentive measures as defined in this Decree are: <br>1) The incentive period of 12 years for each of the power plants of the privileged power producers which have been commissioned less than 12 months before conclusion of the Power Purchase Agreement i.e. the 12 years incentive period reduced by difference between the year of concluding the Power Purchase Agreement and the year of commissioning of all the other privileged producers 'power plants;<br>2) Feed-in tariff at which the privileged producer is entitled to sell total amount of power generated during the incentive period to the Public Supplier; <br>3) The right of privileged producer who had previously acquired temporary status of privileged power producer to sell total amount of electricity generated during the incentive period to the Public Supplier at feed-in tariff valid at the time of acquiring temporary status of privileged power producer; <br>4) Taking balancing responsibility and balancing costs from privileged producers during the incentive period by the Public Supplier; <br>5) Free of charge monthly notification of a privileged producer and Public Supplier on the electricity generation in the facility of the privileged producer metered by the relevant System Operator during the incentive period; <br>6) The right of a privileged producer to conclude an Agreement with the Public Supplier after the incentive period on purchase of the total amount of produced electric power at conditions on the organized electric power market in the Republic of Serbia.</div>",Ended,2013,National,International Energy Agency,2013-01-24,2015,http://www.merz.gov.rs/en/dokumenti/decree-incentive-measures-privileged-power-producers,,1741280780645,"[{""iso3"":""SRB"",""name"":""Serbia""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Wind turbines""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Solar PVs""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Hydropower""},{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Government spending in low-carbon electricity"",""category"":""Other""}]"
Green Electricity Feed-in Tariff Ordinance 2018,"<div>This regulation sets the feed-in tariffs for the purchase of electrical energy from green electricity systems stated in the Green Electricity Act 2012. <br><br>It sets feed-in tariffs for a period of 13 years for renewable projects including: </div><ul><li>Solar PV</li><li>Wind turbines</li><li>Geothermal</li><li>Landfill and sewage gas</li><li>Small hydropower plants</li></ul><div>For biomass, waste and biogas-powered facilities, the feed-in tariff period is extended to 15 years. It is no longer possible to submit new applications for feed-in tariff subsidies under the Green Electricity Act 2012.</div>",In force,2018,National,International Energy Agency,2018-01-01,,https://www.ris.bka.gv.at/NormDokument.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20010106&FassungVom=2023-10-07&Artikel=&Paragraf=1&Anlage=&Uebergangsrecht=,,1749024751394,"[{""iso3"":""AUT"",""name"":""Austria""}]",[],[],[],"[{""topic"":""Power"",""family"":""Incentives and investments"",""name"":""Feed-in tariffs/premiums"",""category"":null}]"
 Carbon Tax Act (Act No. 15/2019),"<div>The Carbon Tax Act, enacted in June 2019, gives effect to the polluter-pays-principle for large emitters and helps to ensure that firms and consumers take the negative adverse costs (externalities) into account in their future production, consumption and investment decisions. Firms are incentivized towards adopting cleaner technologies over the next decade and beyond.</div><div>The carbon tax is initially only applied to scope 1 emitters in the first phase. The first phase lasted from 1 June 2019 to 31 December 2022, and the second phase will take place from 2023 to 2030.</div><div> </div><div>The design of the carbon tax also provides significant tax-free emission allowances ranging from 60 per cent to 95 per cent in this first phase. This includes a basic tax-free allowance of 60 per cent for all activities, a 10 per cent process and fugitive emissions allowance, a maximum 10 per cent allowance for companies that use carbon offsets to reduce their tax liability, a performance allowance of up to 5 per cent for companies that reduce the emissions intensity of their activities, a 5 per cent carbon budget allowance for complying with the reporting requirements and a maximum 10 per cent allowance for trade exposed sectors.</div><div> </div><div>The carbon tax rate is sustainably increasing over the years, ranging from R6 to R48 per tonne of CO2e - when taking into account free allowances.</div>",In force,2019,National,International Energy Agency,2019-05-23,,https://www.gov.za/documents/carbon-tax-act-15-2019-english-afrikaans-23-may-2019-0000,English,1717425038658,"[{""iso3"":""ZAF"",""name"":""South Africa""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Carbon tax""}]"
Electric vehicles import duties reduction,"<div>The government of Argentina reduced import tariffs on electric, hybrid and hydrogen vehicles from 2017 until 2023. The tariffs ran from 0%-5%, down from 35% previously. </div>",Ended,2017,National,International Energy Agency,11-05-2017,2023,https://www.argentina.gob.ar/servicio/importar-vehiculos-hibridos-electricos-y-celdas-de-combustible-con-aranceles-reducidos,English,1718016350821,"[{""iso3"":""ARG"",""name"":""Argentina""}]",[],"[""Drive train or engine"",""Plug-in hybrid"",""Transport technologies"",""Battery electric"",""Large cars, SUVs, passenger / pickup trucks and light duty vehicles"",""Road vehicles""]",[],"[{""topic"":""Transport"",""family"":""Trade policies"",""name"":""Tariffs and duties"",""category"":""Electric light-duty vehicles""},{""topic"":""Power"",""family"":""Trade policies"",""name"":""Tariffs and duties"",""category"":""Solar PVs""}]"
Energy Efficiency and Conservation Master Plan up to 2030,"<div>The Energy Efficiency and Conservation Master Plan is a supreme plan of Bangladesh’s initiative on energy efficiency and conservation, of which preparation requirement is stipulated in the Energy Efficiency and Conservation Rules (2014). The Plan declares Bangladesh's unyielding commitment for EE&amp;C implementation</div><div> </div><div>This master plan is developed along 7 policy axes</div><div> </div><ol><li>Energy Management Program for large industrial energy consumers</li><li>Energy Efficiency labelling program for residential consumers based on the following sub steps:</li></ol><ul><li>Label certification / Laboratory accreditation system</li><li>Standardization of EE measurement method and Star Label</li><li>Rating criteria  Star Label Standardization (Unification)</li><li>Participation of manufactures, importers and retail shops (mandatory/voluntary)</li><li>MEPS (Minimum Energy Performance Standard)</li></ul><ol><li>Energy efficiency building program based on the Bangladesh National Building Code (BNBC)</li><li>Energy efficiency &amp; conservation finance program for private companies</li><li>Government own initiatives (Green Purchase Program for Eco-friendly public procurement and obtaining some ISO certifications)</li><li>Energy Consumption Data Collection (by fuel, sector, and energy intensity data)</li><li>Global Warming Countermeasures including the Formulation and quantification of national carbon market; a Carbon abatement project as capacity development; and  Awareness raising.</li></ol><div> </div>",In force,2015,National,International Energy Agency,2015-03-01,2030,http://sreda.gov.bd/files/EEC_Master_Plan_SREDA.pd,English,1741602074342,"[{""iso3"":""BGD"",""name"":""Bangladesh""}]",[],"[""Industry sector-specific processes and technologies""]",[],"[{""topic"":""Industry"",""family"":""Framework legislation"",""name"":""Strategic plans"",""category"":null},{""topic"":""Power"",""family"":""Performance-based policies"",""name"":""Facility or company emissions standards"",""category"":null},{""topic"":""Industry"",""family"":""Incentives and investments"",""name"":""Government spending for energy efficiency and recycling"",""category"":null}]"
New Hampshire Emissions reductions from Power Plants,"<div>In January 2002, an amendment to HB 284, the New Hampshire Clean Power Act, passed by the New Hampshire House of Representatives. The law was signed by the Governor of New Hampshire in May 2002. HB 284 addresses emissions of four important air pollutants: sulfur dioxide (SO2), nitrogen oxides (NOx), mercury, and carbon dioxide (CO2). HB 284 ""caps"" emissions from Public Service of New Hampshires (PSNHs) power plants. These caps are annual (i.e., they apply all year round, not just in the summer ozone season), and they are ""output-based,"" which encourages more efficient generation than traditional ""input-based"" regulation. In addition, emissions trading (i.e., the ability to comply with reduction requirements by purchasing reductions made elsewhere if doing so is more cost-effective) is allowed for SO2, NOx, and CO2. The law requires that carbon dioxide emissions to be reduced to 1990 levels by the end of 2006. This change aligns the target for carbon reductions with those of the New England Governors and Eastern Canadian Premiers Climate Change Action Plan, adopted in August 2001.</div>",In force,2002,State/Provincial,International Energy Agency,2024-05-02,,https://des.nh.gov/organization/divisions/air/tsb/tps/aetp/clean_power_act.htm,,1750777911919,"[{""iso3"":""USA"",""name"":""United States""}]",[],[],[],"[{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
First Basic Plan for 2015-2024 - Domestic Emission Trading Scheme,"<div>Korea introduced in 2015 its national emissions trading scheme. <br>In a first phase, the power market will conduct a demonstration project, based on the baseline matrix scheme, and in the next phase other industries like refinery, petrochemical, and steel by electric furnace will constitute a new carbon market. In the last phase, a general emission trading market will be established where the government itself participate as a buyer to absorb the credit offered by the renewable energy and ESCO (energy service company) projects.<br><br></div>",In force,2015,National,International Energy Agency,2014-01-28,,https://www.moef.go.kr/nw/nes/detailNesDtaView.do?menuNo=4010100&searchNttId1=OLD_4020294&searchBbsId1=MOSFBBS_000000000028,,1717426022296,"[{""iso3"":""KOR"",""name"":""Korea""}]",[],[],[],"[{""topic"":""Buildings"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Industry"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Power"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""},{""topic"":""Transport"",""family"":""Market pull"",""name"":""Carbon pricing instruments"",""category"":""Emission Trading System (ETS)""}]"
